[ 2016-06-16T09:24:39+08:00 ] /T050/index.php/Public/main | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-16T09:24:39+08:00 ] /T050/index.php/Public/main | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.022926s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `user_id` = 'ldrj1688' ) LIMIT 1   [ RunTime:0.000727s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.022356s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000372s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_bonus` [ RunTime:0.058288s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_bonus` WHERE ( `uid` = '1' ) ORDER BY id desc LIMIT 10   [ RunTime:0.007245s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_form` [ RunTime:0.058716s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_form` WHERE ( `status` = 1 ) ORDER BY baile desc,id desc LIMIT 12   [ RunTime:0.000593s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_fck` WHERE ( `re_id` = '1' ) AND ( `is_pay` = 1 ) LIMIT 1   [ RunTime:0.004310s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_msg` [ RunTime:0.009522s ]
