[ 2016-06-16T16:37:00+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000573s ]
[ 2016-06-16T16:37:00+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | INFO: Tag[ app_begin ] --START--
[ 2016-06-16T16:37:00+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000294s ]
[ 2016-06-16T16:37:00+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000353s ]
[ 2016-06-16T16:37:00+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-16T16:37:00+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-16T16:37:00+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.020313s ]
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '11689' ) AND ( `user_id` = 'new' ) LIMIT 1   [ RunTime:0.000487s ]
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.017344s ]
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000429s ]
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/codys/Urlsz/3 | NOTIC: [8] Undefined index: Urlsz TransferAction.class.php 第 38 行.
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/vap | INFO: Tag[ route_check ] --START--
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/vap | INFO: Run CheckRoute Behavior [ RunTime:0.000409s ]
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/vap | INFO: Tag[ route_check ] --END-- [ RunTime:0.000460s ]
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/vap | INFO: Tag[ app_begin ] --START--
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/vap | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000281s ]
[ 2016-06-16T16:37:01+08:00 ] /T050/index.php/Transfer/vap | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000314s ]
