[ 2016-06-15T09:35:17+08:00 ] /t050/index.php/Transfer/codys/ | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-15T09:35:17+08:00 ] /t050/index.php/Transfer/codys/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-15T09:35:17+08:00 ] /t050/index.php/Transfer/codys/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/codys/ | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.032732s ]
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/codys/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `user_id` = 'ldrj1688' ) LIMIT 1   [ RunTime:0.000606s ]
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/codys/ | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.019581s ]
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/codys/ | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000513s ]
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/codys/ | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/codys/ | SQL: SELECT `id`,`is_agent` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `passopen` = 'c4ca4238a0b923820dcc509a6f75849b' ) LIMIT 1   [ RunTime:0.000522s ]
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/vap | INFO: Tag[ route_check ] --START--
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/vap | INFO: Run CheckRoute Behavior [ RunTime:0.000497s ]
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/vap | INFO: Tag[ route_check ] --END-- [ RunTime:0.000555s ]
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/vap | INFO: Tag[ app_begin ] --START--
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/vap | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000338s ]
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/vap | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000378s ]
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/vap | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/vap | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
